time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_LLC data read MPI (demand+prefetch),metric_Average LLC data read (demand+prefetch) miss latency (in clks),metric_Average LLC data read (demand+prefetch) miss latency (in ns),metric_ITLB MPI,metric_DTLB 2MB large page load MPI,metric_DTLB store MPI,metric_uncore frequency GHz,metric_package power (watts),metric_DRAM power (watts),metric_memory bandwidth read (MB/sec),metric_memory bandwidth write (MB/sec),metric_memory bandwidth total (MB/sec),metric_IO_read cache miss(disk/network writes) bandwidth (MB/sec),metric_IO_write cache miss(disk/network reads) bandwidth (MB/sec),metric_TMAM_Info_CoreIPC,metric_TMAM_Frontend_Bound(%),metric_TMAM_Frontend_Latency(%),metric_TMAM_ITLB_Misses(%),metric_TMAM_Branch_Resteers(%),metric_TMAM_Mispredicts_Resteers(%),metric_TMAM_Clears_Resteers(%),metric_TMAM_Unknown_Branches_Resteers(%),metric_TMAM_Frontend_Bandwidth(%),metric_TMAM_Bad_Speculation(%),metric_TMAM_Branch_Mispredicts(%),metric_TMAM_Branch_Clears(%),metric_TMAM_Backend_bound(%),metric_TMAM_Memory_Bound(%),metric_TMAM_L1_Bound(%),metric_TMAM_DTLB_Load(%),metric_TMAM_Store_Fwd_Blk(%),metric_TMAM_L2_Bound(%),metric_TMAM_L3_Bound(%),metric_TMAM_L3_Latency(%),metric_TMAM_L3_Bandwidth(%),metric_TMAM_SQ_Full(%),metric_TMAM_MEM_Bound(%),metric_TMAM_MEM_Bandwidth(%),metric_TMAM_MEM_Latency(%),metric_TMAM_Stores_Bound(%),metric_TMAM_DTLB_Store(%),metric_TMAM_Core_Bound(%),metric_TMAM_Divider(%),metric_TMAM_Ports_Utilization(%),metric_TMAM_0_Port_Utilized(%),metric_TMAM_1_Port_Utilized(%),metric_TMAM_2_Port_Utilized(%),metric_TMAM_3m_Ports_Utilized(%),metric_TMAM_Retiring(%),metric_TMAM_Base(%),metric_TMAM_Microcode_Sequencer(%)
1564686021,1.98135991,4.55477535,4.76858152,5.59092687,0.01448323,0.26948773,0.00853833,0.00651463,0.01615439,0.00521527,0.00221265,0.00190762,196.84017584,99.34564076,0.00006856,0.00004964,0.00002650,2.38423279,113.71000000,12.99000000,461.08275200,123.15315200,584.23590400,0.00307200,0.06316800,0.35772244,90.01335608,82.71155800,0.20690153,12.89150647,0.36071897,2.35791114,9.62236488,3.62736452,2.79852465,0.37131970,2.42720494,45.39531318,32.68184363,44.85365184,0.89839021,0.20062358,0.74129267,1.47312964,2.88364461,0.01915535,0.40818815,1.03224989,0.00000000,1.20900417,0.13342058,0.10115012,-1.53963941,0.04659019,9.49025077,169.86730367,11.62604736,8.22735945,8.87890550,7.08960739,4.23658266,2.85302473
1564686022,1.60990642,4.39861011,4.59730524,5.78605942,0.01913720,0.25972361,0.01877216,0.00704270,0.03460666,0.00733462,0.00851732,0.00675678,224.75452379,137.49921921,0.00016941,0.00016257,0.00011396,2.35576330,109.12000000,11.06000000,984.51065600,84.46035200,1068.97100800,0.00102400,0.00204800,0.34565839,33.64605924,28.12105530,0.36610754,15.95454779,0.33138636,4.21168478,10.67545148,2.97909030,4.19436057,0.30595028,3.88841029,69.32956266,38.38867659,23.09206166,1.61592961,0.15267098,0.73492102,2.15124798,4.57742775,0.02604995,1.93271038,0.87754943,0.00000000,1.04094335,0.43421032,0.26675807,12.39632409,0.04747858,11.67914241,153.61645617,13.86780188,9.04226105,10.15467008,8.33407184,4.31437341,4.01969843
1564686023,1.52327828,4.53281276,4.63948348,5.45431386,0.02128525,0.26416093,0.01936626,0.00784994,0.03847960,0.00781670,0.00949495,0.00708463,232.14086288,148.88789594,0.00015669,0.00018079,0.00012196,2.28257642,105.07000000,10.78000000,981.61996800,103.68896000,1085.30892800,0.00192000,0.01651200,0.36668224,34.56500497,28.87486198,0.38159550,16.71863398,0.33430950,4.44429674,11.39568332,3.17810497,4.51636349,0.31596310,4.20040039,67.62302529,37.94172419,24.39452473,1.78524299,0.16973415,0.98787705,2.36309822,4.46636791,0.02845260,2.35892501,0.98337040,0.00015971,1.25491583,0.46942405,0.30097501,11.81701923,0.04957291,11.95033763,146.71124763,14.03473034,9.10919871,10.42642241,8.55508336,4.13593041,4.41915295
1564686024,1.63422097,4.31185186,4.54448520,6.12544637,0.01946210,0.26104296,0.01966086,0.00741928,0.03708881,0.00752804,0.00909678,0.00687292,272.91821086,164.10606697,0.00015880,0.00011881,0.00006795,2.33615737,107.14000000,10.92000000,470.29625600,96.18841600,566.48467200,0.03123200,0.04486400,0.32650682,33.43913187,27.58151705,0.30483593,15.54657450,0.29784763,4.00110098,10.55470112,3.13143681,4.56713629,0.31642870,4.25070759,69.49338795,38.64132414,23.01759539,1.42633510,0.15492175,0.62069407,2.01079843,8.17710466,0.03427603,2.16171858,1.19566768,0.00242367,1.25685395,0.43303296,0.30540067,12.22495709,0.06154902,11.55175012,155.24498734,14.18427534,9.73757126,9.92728412,8.06316743,4.19961126,3.86355618
1564686025,1.59650414,4.54917681,4.71134753,5.01206250,0.01794672,0.25666222,0.01844255,0.00700807,0.03174053,0.00633686,0.00913433,0.00580157,270.31300622,164.79665354,0.00015615,0.00011731,0.00006753,2.35854056,108.18000000,10.79000000,481.19225600,91.40153600,572.59379200,0.02899200,0.04454400,0.39903732,34.90686892,28.34992887,0.33583814,15.86382133,0.31563361,4.05288347,10.93119959,3.51411181,4.43181239,0.32020682,4.11160557,68.19228048,37.53395198,22.88898704,1.60938963,0.14741082,0.73141093,1.97892111,6.95879877,0.03427883,2.23783988,1.03165161,0.00458531,1.25229359,0.45315325,0.30990105,11.70476043,0.05192390,11.55934312,149.66293323,14.35706884,9.24029035,10.93083471,8.66799772,4.67025951,3.99773820
1564686026,1.41998395,5.93431035,5.16657915,4.69297367,0.01815644,0.24598775,0.01962835,0.00641680,0.02935591,0.00625192,0.00775281,0.00531711,158.87878507,106.13510079,0.00021888,0.00013441,0.00008174,2.32279429,106.45000000,10.88000000,664.51756800,175.86003200,840.37760000,0.04550400,0.06924800,0.42616902,30.41777306,25.98066591,0.43990908,15.37217646,0.37175715,3.88978825,10.04081347,2.72357277,4.80084470,0.41880309,4.38204161,66.74743788,36.94675106,23.02049473,1.89753190,0.16700708,0.13086656,3.32227018,18.45903615,0.09477480,2.26366505,1.91143881,0.00087202,2.65129172,0.48099848,0.42565970,13.08723482,0.09155868,11.27438022,127.13843254,13.03566015,7.77775847,12.72231456,9.78076458,5.76577411,4.01499047
1564686027,1.25771399,5.34727263,5.35645206,3.64345186,0.01574247,0.25738066,0.01861963,0.00620032,0.03820795,0.00742529,0.00913155,0.00619575,201.71306314,161.60489243,0.00016227,0.00014862,0.00008119,1.51336439,77.48000000,10.28000000,928.32953600,120.66086400,1048.99040000,0.00780800,0.02886400,0.54892999,41.26470257,34.63740856,0.53914174,20.27816556,0.39211880,5.66000272,13.80689492,4.21549122,5.21802997,0.33807776,4.87995221,56.87974199,35.18471943,32.81920989,2.32771942,0.23763972,1.65152891,4.45570446,7.98809951,0.08022444,4.77619988,1.94745571,0.00591487,2.04087093,0.62788294,0.46078110,7.41882147,0.05829506,12.61333393,116.82027065,14.69522947,10.59867255,13.59378182,11.65456332,6.22660996,5.42795336
1564686028,1.64390791,4.58347946,4.59304636,4.26255933,0.01406313,0.25249902,0.01754015,0.00633505,0.02751184,0.00628195,0.00669522,0.00432150,211.92007987,128.45080508,0.00012781,0.00013201,0.00008227,2.34365297,109.07000000,11.38000000,926.91020800,96.07552000,1022.98572800,0.00409600,0.17056000,0.46920168,32.97444511,27.07335772,0.37604214,15.84745632,0.38262825,3.90636926,11.36236838,3.30632743,4.24047943,0.37829988,3.86217955,68.44990187,37.24772601,22.54072367,1.56471299,0.14850653,0.37500028,2.27074321,5.29703523,0.03761944,1.84101794,1.22569329,0.00683475,1.40415709,0.41106282,0.28788855,12.72551810,0.05030306,11.28809898,145.40123148,14.30761979,10.30324420,11.09646862,8.83432676,4.82888889,4.00543786
1564686029,1.81968873,4.60655451,4.40428558,3.61636697,0.01152119,0.25863014,0.00950409,0.00495979,0.01437656,0.00360361,0.00335351,0.00253424,273.13644328,141.83260798,0.00007702,0.00005540,0.00003921,2.24846818,107.86000000,12.67000000,646.19136000,241.72748800,887.91884800,0.02675200,0.06272000,0.55304122,35.82591270,30.70804750,0.26736326,13.90642933,0.46927470,2.93889577,9.75995358,2.62707723,4.26474495,0.58721737,3.67752758,67.23491668,39.92059543,25.57390976,1.71194369,0.27795365,-6.32826274,6.65247409,12.76304662,0.05070063,1.09528230,3.12175120,0.01723461,3.85240295,0.35964696,0.27014306,8.57591625,0.05056081,10.48729915,159.69256363,13.81749326,10.41244350,13.90470463,10.11035822,6.78058510,3.32977312
1564686030,1.26027111,5.13186620,5.33840418,5.46614602,0.02092166,0.26073355,0.02437628,0.00685527,0.03849264,0.00760129,0.01239653,0.00833247,277.65987446,211.62137705,0.00020342,0.00017910,0.00011337,1.54205399,79.48000000,10.42000000,799.76857600,106.53100800,906.29958400,0.04627200,0.06476800,0.36588851,60.21435599,54.11076997,0.48382400,20.18112366,0.34836648,5.67919584,13.28681024,3.52929077,5.35199542,0.30932170,5.04267372,50.33397562,33.22397148,39.87230917,2.09035528,0.21246816,0.31858616,3.98005214,10.42269775,0.06306709,3.88938140,1.66122856,0.00307302,2.07646498,0.58921283,0.40611080,2.84257328,0.06119680,12.54022856,136.71467146,15.02124486,10.55873259,12.23138718,9.49614161,4.72189224,4.77424938
